						
	연번	경로당 명	주  소	회원수	"경로당
개설일"	"비고
(휴지/휴지시작연도)"
	824	길음9단지경성경로당	길음로9길 50, 951동 지하	29	2013.08	
	825	길음뉴타운8단지 제2경로당	길음로 33, 825동	27	2013.1	
	826	길음뉴타운7단지제2경로당	길음로13길 22, 두산아파트 707-608	35	2014.08	
	827	길음2동경로당	숭인로 2길 18 102호	34	2006.01	
	828	길음동부센트레빌(아)경로당	숭인로 2길 61호 	25	2002.07	
	829	길음동부임대(아)송산경로당	숭인로2길 61 길음동부(아) 119동 1층	34	2002.12	
	830	성북힐스테이트경로당	동소문로44길 43, 101동 1 층	18	2009.11	
	831	동일하이빌뉴시티경로당	종암로 167 동일하이빌뉴시티 104동 7층	37	2012.08	
	832	래미안길음센터피스아파트경로당	숭인로 50, 109동 110동 사이	0	2019.06	
	833	남종경로당	월곡로 64-20	32	1966.  . 	
	834	래미안세레니티경로당	종암로23길 35  210동 1층	46	2010.12	
	835	종암동제1경로당	종암로21길81-26	30	1999.07	
	836	종암1동현대아이파크경로당	"종암로21길 127  
102동 지하1층"	36	2004.12	
	837	종암1동SH-VILLE(아)경로당	종암로9길71   216동 1층	22	2007.12	
	838	종암동S.K(아)경로당	종암로24가길 53	42	1999.07	
	839	종암2동S.K(아)제2경로당	"종암로24가길 53  
107동내"	23	1999.11	
	840	종암2차아이파크경로당	종암로9길 71	40	2006.01	
	841	종암극동(아)경로당	"북악산로29길 67 
극동@ 단지내"	29	2001.06	
	842	종암래미안(아)경로당	종암로25길 30  관리동2층	50	2004.04	
	843	종암선경(아)경로당	종암로5길 26 아파트내	0	1997.06	
	844	중앙경로당	종암로22길 29	25	1997.07	
	845	종암동제2경로당	월곡로5나길 37	38	2011.02	
	846	종암동래미안라센트(아)경로당	"종암로24가길 80  
래미안라센트(아) 관리동 1층"	34	2011.05	
	847	종암2차SK뷰(아)경로당	"종암로24길 35  
종암2차SK뷰(아) 내"	22	2011.07	
	848	래미안종암2차(아)경로당	종암로23길 35 래미안종암2차아파트 관리동 1층	43	2012.08	
	849	종일사랑방경로당	종암로 13가길 31 1층 101호	40	2018.05	
	850	래미안종암3차(아)경로당	종암로24가길 80, 래미안종암3차 아파트(임대) 관리동 1층 경로당	18	2019.12.	휴지/2020
	851	꿈의숲푸르지오(아)경로당	오패산로16가길 40 꿈의숲 푸르지오아파트 116동 2층	43	2010.12	
	852	동신(아)경로당	오패산로3길 17	50	1986.  .  	
	853	래미안월곡(아)	오패산로 90	53	2007.06	
	854	아남(아)경로당	"종암로 36길 52 
아남아파트내"	27	2000.02	
	855	월곡1동경로당	오패산로3길 99	42	1986.01	
	856	월곡1동밤골경로당	화랑로13가길 17-8	34	1986.07	
	857	월곡3에스에이치(아)경로당	"오패산로90 
에스에이치(아) 단지 내"	21	2009.02	
	858	월곡두산(아)제2경로당	"오패산로 46 
월곡두산(아)제2관리동"	26	2004.07	
	859	월곡두산위브(아)경로당	"오패산로 46 
월곡두산위브(아)관리동"	39	2003.01	
	860	월곡1동모랫말경로당	종암로38길 26-4	51	2019.12	
	861	동아(아)제2	"장월로1길 28
 동아 임대(아) 관리동"	44	2003.09	
	862	동아에코빌(아)경로당	"장월로1길 28 
동아에코빌(아) 관리동 1층"	43	2003.02	
	863	목화경로당	월곡로14길1-19	31	2017.11	
	864	상월곡동경로당	화랑로18길 6	42	1981.06	
	865	상월곡동우남(아)경로당	화랑로15길 4	24	1995.12	
	866	샹그레빌(아)경로당	회기로5길 100	41	2003.06	
	867	월곡2동경로당	화랑로5길 8	35	1980.03	
	868	월곡2에스에이치빌(아)경로당	"회기로5길 142 
월곡2에스에이치빌아파트 관리동1층"	25	2009.06	
	869	월곡래미안루나밸리경로당	"월곡로 14길 26
월곡래미안루나밸리 단지내"	25	2008.07	
	870	동덕경로당	장월로1마길 27-6(하월곡동)	0	2019.05	
	871	동방경로당	장위로13길 75	29	2008.01	
	872	장위1동경로당	장위로22길 51	30	1971.08	
	873	장위1동장수경로당	월계로32길 15	48	1998.08	
	874	장곡향나무경로당	장월로23길 47-20	25	2013.08	
	875	신동방경로당	장위로10길 10-4 1층	30	2018.02	
	876	장위2동경로당	장월로10길 7	39	1999.  .	
	877	장위우방(아)경로당	화랑로 235 우방(아)101-209	40	2002.09	
	878	장월경로당	장월로18길 27-4	41	2019.04	
	879	꿈의숲루첸(아)경로당	월계로36길 27 101동 1층	21	2009.08	
	880	장월sh-ville1단지(아)경로당	한천로101길 54	20	2006.11	
	881	장위3동제1경로당	장월로32길 9-3	49	1979.09	
	882	장위3동제2경로당	한천로86길 6	37	2001.03	
	883	참누리(아)경로당	한천로101길 18, 207동 1층  	21	2007.02	
	884	꿈의숲코오롱하늘채아파트경로당	돌곶이로 220	60	2018.07	
	885	래미안석관(아)경로당	"화랑로 214 
래미안석관(아)복리시설1층"	20	2009.11	
	886	석관동제1경로당	한천로74길 1	35	1976.05	
	887	석관동두산(아)경로당	화랑로48길 16	40	1998.05	
	888	석관1동삼성(아)경로당	"한천로 68길 51 
삼성(아) 관리동"	71	2000.12	
	889	석관1동코오롱(아)경로당	한천로 509	28	2000.06	
	890	석관동제2경로당	돌곶이로21길 6	55	1985.12	
	891	중앙하이츠(아)경로당	한천로76길 73	31	1996.01	
	892	석관래미안아트리치경로당	돌곶이로8길 22	0	2020.01	
	893	경남(아)경로당	서울특별시 강북구 삼양로74길 8 (미아동, 경남아너스빌)	43	2008.08	
	894	래미안미아1차(아)경로당	서울특별시 강북구 삼양로 256 (미아동, 래미안미아1차아파트)	38	2007.05	
	895	미동경로당	서울특별시 강북구 삼양로74길 74 (미아동)	53	1995.03	
	896	미송경로당	서울특별시 강북구 인수봉로 42 (미아동)	33	1998.05	
	897	미아벽산(아)경로당	서울특별시 강북구 솔샘로 159 (미아동, 벽산라이브파크)	101	2003.03	
	898	미양할머니경로당	서울특별시 강북구 삼양로37길 10 (미아동)	37	1976.12	
	899	삼일경로당	서울특별시 강북구 삼양로41길 61 (미아동)	33	1971.09	
	900	솔샘(아)경로당	서울특별시 강북구 솔샘로 159 (미아동, 벽산라이브파크)	42	2003.12	
	901	실개울경로당	서울특별시 강북구 삼양로43길 33-3 (미아동)	48	2005.08	
	902	은혜경로당	서울특별시 강북구 삼양로63가길 7-26 스카이팰리스 A동 101호 (미아동)	54	2005.02	
	903	청암경로당	서울특별시 강북구 솔매로22길 11 (미아동)	41	1990.06	
	904	팔팔경로당	서울특별시 강북구 인수봉로 36 (미아동)	44	1999.06	
	905	미아경로당	서울특별시 강북구 솔매로 147-11 (미아동)	55	1988.12	
	906	미아요진(아)경로당	서울특별시 강북구 도봉로76길 52 (미아동, 미아요진아파트)	27	2008.07	
	907	신일해피트리(아)경로당	서울특별시 강북구 오패산로60길 22 (미아동, 신일해피트리아파트)	23	2006.05	
	908	요한경로당	서울특별시 강북구 도봉로49길 62 (미아동)	42	2005.01	
	909	운산경로당	서울특별시 강북구 도봉로72길 14-4 (미아동)	29	1987.07	
	910	율곡경로당	서울특별시 강북구 오패산로52아길 12 (미아동, 은혜주택)	39	1991.12	
	911	한빛경로당	서울특별시 강북구 솔매로43길 25 (미아동)	94	1998.02	
	912	미아현대(아)경로당	서울특별시 강북구 도봉로68길 26 (미아동, 미아현대아파트)	46	2018.10	
	913	경남아너스빌(아)경로당	서울특별시 강북구 오패산로30길 30 (미아동, 경남아너스빌)	41	2003.10	
	914	구봉경로당	서울특별시 강북구 오현로9길 97 미아동,월드아트빌 101호 (미아동, 월드아트빌)	28	1998.10	
	915	방천경로당	서울특별시 강북구 월계로7길 39-9 (미아동)	67	2006.07	
	916	벽오산경로당	서울특별시 강북구 월계로21나길 30 (미아동)	63	2003.11	
	917	송중경로당	서울특별시 강북구 도봉로34길 25-3 (미아동)	51	1994.04	
	918	원송경로당	서울특별시 강북구 오패산로 156-3 (미아동)	81	2001.12	
	919	한일유앤아이(아)경로당	서울특별시 강북구 월계로21가길 41 (미아동, 미아한일유앤아이)	39	2003.04	
	920	꿈의숲롯데캐슬(아)경로당	서울특별시 강북구 오현로 56 (미아동, 꿈의숲 롯데캐슬)	53	2018.04	
	921	미아동부센트레빌(아)경로당	서울특별시 강북구 숭인로7가길 37 (미아동, 미아 동부센트레빌)	33	2007.08	
	922	성우(아)경로당	서울특별시 강북구 삼양로24길 19 (미아동, 현대성우아파트)	29	1999.02	
	923	솔샘길경로당	서울특별시 강북구 솔샘로 277-1 (미아동)	70	1985.06	
	924	송암경로당	서울특별시 강북구 삼양로22길 23-3 (미아동)	33	1982.06	
	925	송천경로당	서울특별시 강북구 솔샘로60길 18-12 (미아동)	30	1993.05	
	926	숭인경로당	서울특별시 강북구 삼양로16길 25 (미아동)	34	2002.10	
	927	큰마을효심경로당	서울특별시 강북구 삼양로54길 60 (미아동)	25	2004.09	
	928	건양경로당	삼양로38길 8-9 (미아동)	51	2008.11	
	929	송천센트레빌(아)경로당	서울특별시 강북구 숭인로 39 (미아동, 송천센트레빌)	47	2011.04	
	930	삼각산아이원(아)경로당	서울특별시 강북구 삼양로19길 113 (미아동, 삼각산아이원아파트)	33	2004.11	
	931	삼각산암산(아)경로당	서울특별시 강북구 삼양로19길 113 (미아동, 삼각산아이원아파트)	67	2005.06	
	932	SK북한산시티(아)제1경로당	서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)	48	2003.08	
	933	SK북한산시티(아)제2경로당	서울특별시 강북구 솔샘로 174 (미아동, SK북한산시티아파트)	69	2002.09	
	934	래미안트리베라1차(아)경로당	삼양로19길 25 (미아동, 삼성 래미안 트리베라 1차)	60	2010.12	
	935	래미안트리베라2차(아)경로당	서울특별시 강북구 삼양로27길 19 (미아동, 삼성래미안트리베라2차아파트)	37	2010.09	
	936	미아두산위브트레지움(아)경로당	"강북구 삼양로27길 80(미아동.
 미아두산위브트레지움A 303동)"	25	2012.08	
	937	동부경로당	서울특별시 강북구 덕릉로52길 46 (번동)	27	1993.10	
	938	번1동경로당	서울특별시 강북구 덕릉로41길 92 (번동)	29	1988.08	
	939	번동삼성(아)경로당	서울특별시 강북구 도봉로98길 33 (번동, 삼성아파트)	28	1995.08	
	940	샛강경로당	서울특별시 강북구 도봉로96나길 9-1 (번동)	32	2005.03	
	941	쌍용(아)경로당	서울특별시 강북구 한천로124나길 10 (번동, 쌍용아파트)	64	1998.03	
	942	두산위브(아)경로당	서울특별시 강북구 덕릉로41길 12 (번동, 수유역 두산위브 아파트 1)	74	2010.05	
	943	교육촌경로당	서울특별시 강북구 오현로25다길 36 (번동)	39	2006.06	
	944	금호어울림(아)경로당	서울특별시 강북구 오현로31길 85-7 (번동, 번동금호어울림)	31	1999.05	
	945	번동주공4단지(아)경로당	서울특별시 강북구 오현로 207 (번동, 번동주공아파트)	82	1991.10	
	946	번동주공5단지(아)경로당	서울특별시 강북구 한천로115길 20 (번동, 번동주공5단지아파트)	82	1992.01	
	947	샘골경로당	서울특별시 강북구 덕릉로44길 6-4 (번동)	34	2008.07	
	948	오동경로당	서울특별시 강북구 오현로25나길 92 (번동)	114	1987.04	
	949	장수촌경로당	서울특별시 강북구 덕릉로36길 22-4 (번동)	65	2003.11	
	950	오동공원현대홈타운(아)경로당	서울특별시 강북구 오현로31길 89 (번동, 오동공원 현대홈타운)	132	2002.05	
	951	샘마을경로당	서울특별시 강북구 오현로31길 125-14 (번동)	44	2019.06	
	952	골말경로당	서울특별시 강북구 한천로109길 57-12 (번동)	36	2005.09	
	953	기산그린(아)경로당	서울특별시 강북구 월계로37길 137 (번동, 기산그린아파트)	42	1998.11	
	954	동문(아)경로당	서울특별시 강북구 오현로 128 (번동, 번동동문아파트)	23	1999.04	
	955	번동주공2단지(아)경로당	서울특별시 강북구 한천로105길 24 (번동, 번동2단지주공아파트)	79	1992.12	
	956	번동솔그린(아)경로당	서울특별시 강북구 한천로109길 83 (번동)	42	2003.03	
	957	신원(아)경로당	서울특별시 강북구 월계로37길 87-9 (번동, 신원아파트)	29	2000.03	
	958	오현(아)경로당	서울특별시 강북구 한천로105길 23 (번동, 번동1단지주공아파트)	39	1991.05	
	959	한솔솔파크(아)경로당	서울특별시 강북구 오현로 180 (번동, 한솔 솔파크아파트)	61	2006.06	
	960	한양(아)경로당	서울특별시 강북구 한천로109길 69 (번동, 한양아파트)	28	1998.12	
	961	한진(아)경로당	"서울특별시 강북구 월계로37길 61
 (번동, 번동한진아파트)"	24	1999.11	
	962	해모로(아)경로당	서울특별시 강북구 오현로 156 (번동, 해모로아파트)	25	2001.05	
	963	번동주공3단지(아)경로당	서울특별시 강북구 오현로 208 (번동, 번동주공아파트)	181	2009.07	
	964	삼흥경로당	서울특별시 강북구 삼양로77길 95 (수유동, 삼흥연립2단지)	30	1981.05	
	965	큰무네미경로당	서울특별시 강북구 도봉로71가길 30-9 (수유동)	39	1982.08	
	966	수유경로당	서울특별시 강북구 인수봉로20길 32 (수유동)	34	1990.01	
	967	수유장수경로당	서울특별시 강북구 삼양로80나길 56 (수유동)	45	1992.07	
	968	화계경로당	서울특별시 강북구 인수봉로38가길 28 (수유동)	85	1995.08	
	969	6.25참전용사경로당	서울특별시 강북구 노해로 115 (수유동)	162	2000.10	
	970	물댐길경로당	서울특별시 강북구 한천로170가길 4 (수유동)	41	2006.02	
	971	벽산201(아)경로당	서울특별시 강북구 삼양로116길 20 (수유동)	36	2002.01	
	972	벽산(아)경로당	서울특별시 강북구 삼각산로 143-1 (수유동, 수유벽산아파트)	48	1993.06	
	973	삼성장수(아)경로당	"서울특별시 강북구 한천로1121
(수유동, 수유삼성아파트)"	47	2001.07	
	974	수유2동경로당	서울특별시 강북구 노해로23길 94 (수유동)	43	1988.09	
	975	수유삼성(아)경로당	서울특별시 강북구 한천로159길 8 (수유동, 래미안수유아파트 106동 옆)	56	2001.07	
	976	상산경로당	서울특별시 강북구 노해로8길 23 (수유동)	32	1987.12	
	977	수유3동경로당	서울특별시 강북구 삼양로98길 22 (수유동)	41	1993.12	
	978	은모루경로당	서울특별시 강북구 도봉로95길 38-1 (수유동)	71	1998.03	
	979	대우(아)경로당	서울특별시 강북구 삼양로149길 45 (106-301) (우이동, 대우아파트)	69	2001.06	
	980	백운경로당	서울특별시 강북구 삼양로159길 9 (우이동)	52	1985.02	
	981	삼각산경로당	강북구 삼양로515-21	36	2003.11	
	982	소귓골경로당	서울특별시 강북구 삼양로173가길 55 102동 201호 (우이동, 메이트하우스)	28	2007.12	
	983	우이경로당	서울특별시 강북구 삼양로170길 23 (우이동)	48	1985.09	
	984	우이성원(아)경로당	서울특별시 강북구 삼양로 658 (우이동, 성원아파트)	98	1992.01	
	985	가오경로당	서울특별시 강북구 삼양로111길 56 (수유동)	23	1974.11	
	986	극동(아)경로당	서울특별시 강북구 인수봉로72길 4 (수유동, 극동아파트)	51	1991.08	
	987	무너미경로당	서울특별시 강북구 인수봉로55가길 21 (수유동)	51	1994.01	
	988	삼산경로당	서울특별시 강북구 인수봉로79길 62-4 (수유동)	81	1995.04	
	989	인수경로당	서울특별시 강북구 인수봉로72길 15-12 (수유동)	49	1980.04	
	990	제일경로당	서울특별시 강북구 삼양로87길 3 (수유동)	38	2003.04	
	991	한신경로당	서울특별시 강북구 인수봉로48길 5-6 (수유동)	57	2003.04	
	992	쌍신경로당	우이천로34길 70	 50 	1979.05.	
	993	계성경로당	우이천로30길 25	 26 	1982.09.	
	994	동익A경로당	우이천로32길 67	 186 	1987.08.	
	995	쌍문1동경로당	우이천로34길 9-14	 73 	1990.12.	
	996	현대3차A경로당	우이천로38가길 32	 21 	1995.10.	
	997	쌍우경로당	우이천로45길 22-4	 76 	1998.05.	
	998	쌍문1동극동A경로당	노해로45길 26	 59 	1999.05.	
	999	호수경로당	삼양로 632	 83 	2002.02.	
	1000	염광A경로당	우이천로30길 28	 45 	2004.02.	
	1001	북한산월드메르디앙A경로당	삼양로 566	 141 	2006.05.	
	1002	우이그린빌라경로당	해등로 337-20	 147 	2007.12.	
	1003	북한산코오롱하늘채A경로당	우이천로 367	 40 	2014.8.	
	1004	꽃동네경로당	시루봉로1길 114-14	 29 	2014.11.	
	1005	삼익A경로당	해등로195	 396 	1987.12.	
	1006	경남A경로당	도봉로129길 45-12	 55 	1988.04.	
	1007	쌍문2동청구A경로당	도당로 13	 53 	1996.12.	
	1008	백운경로당	노해로57길 62	 17 	1997.01.	
	1009	신원A경로당	해등로 190	 47 	1999.08.	
	1010	쌍문2동경로당	방학로3가길 7-3	 80 	2001.12.	
	1011	쌍문3동경로당	노해로48길 71	 42 	1988.09.	
	1012	한양A경로당	 우이천로 304	 67 	1989.08.	
	1013	효문경로당	노해로42길 60-3	 85 	1994.02.	
	1014	삼성래미안A경로당	우이천로 328	 55 	2003.04.	
	1015	브라운스톤쌍문A경로당	노해로40길 71	 54 	2007.11.	
	1016	금호1차A경로당	해등로26길 20	 64 	1989.05.	
	1017	한양2.3.4차(아)경로당	해등로 231	 96 	1989.08.	
	1018	현대1차A경로당	해등로 242-12	 45 	1989.12.	
	1019	쌍문4동성원A경로당	해등로 242-11	 254 	1990.07.	
	1020	한양5차A경로당	해등로25길 36	 36 	1991.10.	
	1021	금호2차A경로당	해등로 241-14	 17 	1992.01.	
	1022	한양7차A경로당	해등로25길 41	 50 	1992.06.	
	1023	한양6차A경로당	시루봉로 58	 46 	1996.02.	
	1024	미라보A경로당	시루봉로2길 62	 63 	1995.06.	
	1025	쌍문4동경로당	노해로 213-24	 29 	1997.01.	
	1026	대우파크힐(이안)A경로당	시루봉로 8	 60 	2004.11.	
	1027	방학1동경로당	방학로 130-9	 189 	1994.02.	
	1028	거성학마을A경로당	도당로 116	 97 	1996.07.	
	1029	방학1동성원A경로당	도당로6길 14-6	 40 	1996.07.	
	1030	윗들경로당	도봉로150마길 37	 45 	1997.12.	
	1031	대상타운현대A .1차(아)경로당	마들로 616	 22 	2002.05.	
	1032	대상타운현대A .2차(아)경로당	마들로 616	 20 	2003.05.	
	1033	방학삼성래미안A1단지경로당	마들로 646	 32 	2003.10.	
	1034	이수A경로당	도봉로146길 36	 60 	2003.11.	
	1035	방학삼성래미안A2단지경로당	도봉로150길 42	 116 	2003.12.	
	1036	금광A경로당	도봉로150바길 26	 80 	2006.8.	
	1037	ESA1단지A경로당	마들로 657	 33 	2009.6.	
	1038	방학동부센트레빌A경로당	방학로120	 23 	2016.11.	
	1039	방학2동경로당	시루봉로17길 64	 152 	2010.1.	
	1040	신우경로당	도당로13다길 39	 44 	1987.12.	
	1041	청학경로당	도당로13라길 104-4	 96 	1996.07.	
	1042	송학경로당	도당로13라길 14-3	 52 	1998.07.	
	1043	성삼경로당	도당로15길 36, 지하1층	 46 	2010.12.	
	1044	신동아1차A제1경로당	방학로 193	 121 	1987.10.	
	1045	삼익세라믹(아)경로당	도당로 37	 18 	1988.04.	
	1046	벽산1차A경로당	방학로11길 36	 49 	1991.10.	
	1047	방학3동극동A경로당	시루봉로11길 25-8	 45 	1993.12.	
	1048	신동아4차A경로당	방학로 200	 27 	1994.04.	
	1049	방학3동구립경로당	시루봉로 128	 45 	2002.07.	
	1050	신동아1차A제2경로당	시루봉로 107	 30 	2005.12.	
	1051	동양크레오A경로당	시루봉로 166	 84 	2005.06.	
	1052	원당경로당	해등로32가길 16	 38 	2008.9.	
	1053	우성A경로당	해등로 286-5	 61 	1992.08.	
	1054	신동아3차A경로당	방학로15길 26-7	 39 	1993.05.	
	1055	신동아2차A경로당	방학로15길 40	 64 	1993.06.	
	1056	우성2차A경로당	해등로 307	 46 	1993.12.	
	1057	방학3동청구A경로당	시루봉로 71	 11 	1994.01.	
	1058	벽산2차A경로당	시루봉로5길 48	 28 	1997.04.	
	1059	세심천경로당	시루봉로 65-59	 71 	2002.07.	
	1060	한화아파트경로당	방학로11길 10	 64 	2015.03	
	1061	주공3단지A경로당	해등로 50	 104 	1991.02.	
	1062	주공4단지A경로당	덕릉로 350	 171 	1992.05.	
	1063	삼성A제1경로당	노해로66길 21	 28 	1992.11.	
	1064	창일경로당	도봉로116길 41	 91 	1993.07.	
	1065	대우그린A경로당	덕릉로 371	 28 	2001.06.	
	1066	삼성A제2경로당	노해로66길 21	 81 	2002.06.	
	1067	현대타운A경로당	도봉로114길 22-8	 62 	2012.6.	
	1068	초안경로당	덕릉로59차길 14	 110 	1989.03.	
	1069	대우A경로당	덕릉로63가길 43	 119 	1996.10.	
	1070	금용A경로당	우이천로 200	 117 	1997.09.	
	1071	장수경로당	도봉로104길 101	 95 	1999.12.	
	1072	창2동한신A경로당	도봉로110다길 5	 20 	2003.04.	
	1073	창동건영캐스빌A경로당	우이천로20길 7	 65 	2003.07.	
	1074	태영데시앙아파트경로당	도봉로110다길 51	 59 	2003.12.	
	1075	수산트리플A경로당	우이천로20길 6	 44 	2004.12.	
	1076	창3동경로당	우이천로4나길 24	 51 	1983.12.	
	1077	초헌약수경로당	덕릉로60바길 31	 38 	1994.09.	
	1078	신창A경로당	덕릉로62길 13	 20 	1999.8.	
	1079	창3동한신A경로당	덕릉로60바길 21	 28 	2002.04.	
	1080	한승미메이드A경로당	덕릉로60길 164-13	 43 	2005.03.	
	1081	초안산신도브래뉴A경로당	우이천로4라길 11-14	 62 	2011.04.	
	1082	노송(18단지)경로당	노해로70길 126	 39 	1988.10.	
	1083	동아A경로당	노해로70길 12	 39 	1988.12.	
	1084	주공19단지A경로당	노해로70길 54	 30 	1989.05.	
	1085	녹천(주공17단지)A경로당	덕릉로66길 17	 58 	1990.01.	
	1086	쌍용A경로당	마들로 551	 53 	1997.03.	
	1087	동아청솔A경로당	노해로69길 103	 95 	1997.10.	
	1088	현대2차A경로당	도봉로136길 111	 20 	1901.09.	
	1089	만수정(성원A)경로당	마들로16길 56	 40 	1901.10.	
	1090	창동4차아이파크A경로당	노해로69가길 54	 20 	2004.07.	
	1091	창5동경로당	노해로63가길 34	 37 	1986.10.	
	1092	상아1차A경로당	해등로 118	 29 	1987.11.	
	1093	상아2차A경로당	노해로63가길 7	 17 	1988.05.	
	1094	주공1단지A경로당	해등로 113	 31 	1990.09.	
	1095	주공2단지A경로당	해등로12길 44	 74 	1991.09.	
	1096	동아그린A경로당	노해로63다길 34	 24 	1997.06.	
	1097	창동대동A경로당	도봉로 642-30	 78 	1999.09.	
	1098	창동대림A경로당	노해로63길 75	 41 	2004.01.	
	1099	신도브래뉴A경로당	도봉로136나길 40	 60 	2004.01.	
	1100	금호어울림A경로당	도봉로136가길 68	 28 	2004.08.	
	1101	현대1차A경로당	해등로16길 12	 21 	2004.09.	
	1102	북한산아이파크A경로당	도봉로136길 28	 42 	2005.01.	
	1103	북한산한신휴플러스A경로당	도봉로136가길 73	 37 	2008.7.	
	1104	유만경로당	노해로61길 22	 41 	2010.9.	
	1105	도봉1동서원경로당	도봉로181길 34-7	 24 	2010.1.	
	1106	안골경로당	도봉로191길 88	 23 	1982.09.	
	1107	도봉산경로당	도봉산4길 28-3	 28 	1985.05.	
	1108	가든A경로당	도봉산길 35	 52 	1988.02.	
	1109	럭키A경로당	도봉로169길 31	 17 	1992.12.	
	1110	약수경로당	시루봉로23가길 17	 27 	1994.01.	
	1111	무수경로당	도봉로173길 40-5	 38 	1995.02.	
	1112	성황당경로당	도봉로165길 28-8	 35 	1999.11.	
	1113	오봉경로당	도봉로 157길 35-4	 34 	2001.03.	
	1114	도봉2동경로당	도봉로162길 12-9	 56 	2001.12.	
	1115	삼환A경로당	도봉로180길 6-83 	 10 	1988.03.	
	1116	유원A경로당	도봉로180길 50	 32 	1990.11.	
	1117	도봉2동극동A경로당	도봉로180길 77	 27 	1992.01	
	1118	도봉2동한신A경로당	마들로 859-19	 106 	1993.12.	
	1119	도봉2동서원A(분양)경로당	마들로 684-19	 40 	1997.02.	
	1120	도봉2동서원A제2(임대)경로당	마들로 684-20	 77 	2010.11.	
	1121	서광A경로당	마들로 770	 21 	2002.10.	
	1122	도봉주공A경로당	도봉로180길 83-14	 54 	2003.05.	
	1123	동아에코빌A경로당	도봉로180길 6-23	 22 	2003.07.	
	1124	도봉파크빌2단지A경로당	마들로 835	 24 	2003.10.	
	1125	도봉파크빌3단지A경로당	마들로 891	 19 	2003.11.	
	1126	래미안도봉A경로당	도봉로170길 40	 37 	2006.4.	
	1127	월계1동경로당	석계로8가길 2(월계동)	24	1977.01.	
	1128	월성경로당	광운로13길 9 (월계동) 	29	2011.06.	
	1129	벼루마을경로당	월계로44길 62(월계동)	34	2000.10.	
	1130	광운경로당	광운로19가길 53(월계동)	31	2016.10.	
	1131	선곡경로당	광운로2길 15-6(월계동)	33	1976.02.	
	1132	동신아파트경로당	광운로2나길 30(월계동, 동신아파트)	21	1983.05.	
	1133	삼창아파트경로당	광운로2나길 50(월계동, 삼창아파트)	28	1991.10.	
	1134	대동아파트경로당	광운로 46(월계동, 대동아파트)	30	1997.07.	
	1135	월계한일1차아파트경로당	석계로15길 25(월계동, 한일아파트)	23	2000.11.	
	1136	월계현대아파트경로당	석계로 49(월계동, 현대아파트)	29	2001.04.	
	1137	장은하이빌아파트경로당	석계로13길 6-9(월계동, 장은아파트)	27	2013.08.	
	1138	세양청마루아파트경로당	석계로13길 35(월계동, 세양청마루아파트)	36	2006.04.	
	1139	월계한일2차아파트경로당	석계로13길 6-10(월계동, 월계2차한일아파트)	33	2001.06.	
	1140	성북역신도브래뉴경로당	광운로19길 38(월계동, 성북역신도브래뉴)	25	2005.11.	
	1141	월계역신도브래뉴경로당	월계로 338(월계동, 월계역신도브래뉴)	30	2006.01.	
	1142	sk뷰아파트경로당	월계로42길 97(월계동,sk뷰아파트)	25	2016.08.	
	1143	연촌경로당	광운로 15길 35-2 동광빌라 101호	25	2018.11.	
	1144	대동경로당	덕릉로60길 252(월계동, 유원아파트)	20	1980.05.	
	1145	인덕마을경로당	초안산로2길 94-14, 1층2호(월계동)	27	2017.05.	
	1146	월계종합복지관경로당	초안산로1길 15(월계동, 월계주공1단지아파트)	46	1993.02.	
	1147	2단지각심경로당	초안산로1길 18(월계동, 월계주공2단지아파트)	32	1993.02.	
	1148	극동아파트경로당	덕릉로60길 268(월계동, 극동아파트)	29	1994.04.	
	1149	대우아파트경로당	초안산로5길 22(월계동, 대우아파트)	15	1998.11.	
	1150	초안1단지경로당	덕릉로60길 185(월계동, 초안아파트)	20	1999.04.	
	1151	초안아파트경로당	우이천로 102(월계동, 초안아파트)	33	1998.05.	
	1152	월계흥화브라운빌경로당	우이천로2나길 14(월계동, 월계흥화브라운빌)	22	2006.06.	
	1153	청백1단지경로당	초안산로 89(월계동, 월계청백1단지아파트)	46	1999.04.	
	1154	청백3단지경로당	월계로45가길 89(월계동, 월계청백3단지아파트)	24	1999.03.	
	1155	청백4단지경로당	월계로45가길 94(월계동, 월계청백4단지아파트)	26	1999.03.	
	1156	월계유원아파트경로당	덕릉로60길 252(월계동, 유원아파트)	24	2007.11.	
	1157	초안산쌍용스윗닷홈경로당	덕릉로60길 222(월계동, 초안산쌍용스윗닷홈아파트)	19	2007.12.	
	1158	롯데캐슬루나아파트경로당	월계로45길 21(월계동, 롯데캐슬루나아파트)	20	2007.12.	
	1159	월계동원베네스트경로당	월계로53길 21(월계동, 동원베네스트)	29	2006.04.	
	1160	녹천역두산위브아파트경로당	마들로5길 25(월계동,녹천역두산위브아파트)	42	2017-08-	
	1161	삼미아파트경로당	마들로 111(월계동, 월계미륭아파트)	43	1986.08.	
	1162	미성아파트경로당	마들로 59(월계동, 월계미성아파트)	67	1987.09.	
	1163	월천아파트경로당	마들로 127(월계동, 월계삼호아파트)	26	1987.10.	
	1164	서광아파트경로당	마들로1길 44(월계동, 서광아파트)	31	1995.05.	
	1165	성원아파트경로당	마들로3길 37(월계동, 성원아파트)	35	1995.09.	
	1166	그랑빌아파트경로당	마들로 31(월계동, 그랑빌아파트)	59	2002.01.	
