						
	연번	경로당 명	주  소	회원수	"경로당
개설일"	"비고
(휴지/휴지시작연도)"
	92	신당5동	다산로42길53(신당동)	34	1985	
	93	유 락	퇴계로90길42(신당동)	41	1983.10.	
	94	한진그랑빌	왕십리로39길30, 103동옆	45	2000.12.	
	95	한진그랑빌행복	왕십리로39길30, 104동옆	44	2002. 9.	
	96	하이베르	퇴계로90길74, 111동	35	2012.7.	
	97	사랑 (구 하이베르2)	퇴계로90길74, 201동	28	2012.7.	
	98	kcc	난계로 130, 102동 1층	32	2020.1.	
	99	동화동	퇴계로80길52(신당동)	61	1985. 1.	
	100	신당푸르지오	다산로36길110(103동) 관리사무소옆	32	2005.12.	
	101	동화동현대@	다산로36길109, 1동앞	42	1991	
	102	파라다이스	다산로42나길46(신당동,파라다이스)	32	2000. 7.	
	103	청구e편한세상	청구로64, 109동 1층	44	2012.7.	
	104	동 화	청구로64, 115동 1층	47	2012.9.	
	105	황 중	난계로11길37(황학동)	77	1995. 11.	
	106	SH황학롯데캐슬	청계천로400(황학동), 106동7층	35	2008.10.	
	107	롯데캐슬베네치아	청계천로400(황학동), 103동7층	48	2008.12.	
	108	중 림	손기정로101(만리동2가)	77	1998.12.	
	109	삼성사이버	중림로10(중림동), 105동앞	70	2001. 5.	
	110	충 정	중림로4길41(중림동), 202동 1층	143	2001.6.	
	111	서울역자이아파트	만리재로 175, 109동 1층 	56	2018.7.	
	112	양짓말경로당	서울 용산구 후암로13가길 25	131	1989-06-09	
	113	활터골경로당	서울 용산구 신흥로20길 55	57	1992-05-11	
	114	새말경로당	서울 용산구 두텁바위로58길48	72	1999-06-02	
	115	후암미주아파트경로당	서울 용산구 후암로71-1	55	2005-04-27	
	116	신흥경로당	서울 신흥로 22길 14-8	62	1987-06-02	
	117	용산2가경로당	서울 용산구 신흥로 16길 18	106	1988-10-25	
	118	용암경로당	서울 용산구 신흥로3가길 21-7	102	2001-10-10	
	119	동자동경로당	서울 용산구 한강대로104길 30-4	67	1992-09-16	
	120	갈월경로당	서울 용산구 두텁바위로1길 13	42	2003-04-07	
	121	남영경로당	서울 용산구 한강대로72길21-15	82	2001-01-12	
	122	서계경로당	서울 용산구 만리재로28길 5-22	72	2006-11-08	
	123	서계제1경로당	서울 용산구 효창원로104길 7	85	1990-02-07	
	124	청파제1경로당	서울 용산구 청파로71길 100	54	1992-02-10	
	125	청파제2경로당	서울 용산구 청파로49길34	119	1988-07-02	
	126	원효제1경로당	서울 용산구 백범로329	83	1989-06-24	
	127	효원경로당	서울 용산구 원효로97길 3-30	40	2010-04-01	
	128	원일(원효로2가)경로당	서울 용산구 원효로67길 13	85	2003-07-14	
	129	신계경로당	서울 용산구 원효로216	83	1973-10-25	
	130	cj나인파크경로당	서울 용산구 백범로90다길12	21	2012-09-27	
	131	KCC웰츠타워 경로당	서울 용산구 백범로90길 90	23	2019,01-03	
	132	청심경로당	서울 용산구 원효로4가 136-1	58	1991-12-16	
	133	원효로경로당	서울 용산구 원효로41가길 14-19	56	1987-11-10	
	134	리버힐삼성아파트제2(임대)경로당	서울 용산구 효창원로13길7	52	2001-04-16	
	135	리버힐삼성아파트제1경로당	서울 용산구 효창원로 17	21	2004-07-01	
	136	산천경로당	서울 용산구 새창로8길 157	23	2004-04-16	
	137	세방경로당	서울 용산구 효창원로15길 16	29	2005-11-01	
	138	효창동제1경로당	서울 용산구 임정로11길 9	38	1987-11-10	
	139	효창제2경로당	서울 용산구 효창원로 146-2	320	2001-06-15	
	140	효창한신아파트경로당	서울 용산구 백범로 45길 9-11	44	2005-02-04	
